BuoyID,Year,Hour,Min,DOY,POS_DOY,Lat,Lon,BP,Ts,Ta,iIceC,iBP,iTs,iTa_2m,iWindE_0Layer,iWindN_0Layer
300534065164870,2024,23,1,221.9591,221.9591,80.00278,209.89274,970,15.2,-999.0,0.89,1015.11,-0.18,-0.62,1.47,-0.05
300534065164870,2024,0,0,222.0006,222.0006,79.95091,210.11852,1015,8.55,-999.0,0.89,1015.06,-0.18,-0.47,0.92,0.12
300534065164870,2024,1,0,222.042,222.042,79.95498,210.11828,1015,7.3,-999.0,0.89,1015.0,-0.18,-0.33,0.57,0.39
300534065164870,2024,2,0,222.0836,222.0836,79.9586,210.12509,1015,6.9,-999.0,0.9,1014.99,-0.18,-0.2,0.25,0.7
300534065164870,2024,3,0,222.1253,222.1253,79.96119,210.13635,1015,6.45,-999.0,0.9,1015.05,-0.18,-0.08,0.04,0.84
300534065164870,2024,4,0,222.1673,222.1673,79.96255,210.1476,1015,5.75,-999.0,0.9,1015.1,-0.18,-0.05,-0.12,0.79
300534065164870,2024,5,0,222.2086,222.2086,79.9629,210.15336,1015,5.05,-999.0,0.9,1015.24,-0.17,-0.02,-0.36,0.74
300534065164870,2024,6,0,222.2503,222.2503,79.96292,210.15206,1015,4.5,-999.0,0.9,1015.27,-0.24,-0.02,-0.72,0.72
300534065164870,2024,7,0,222.2921,222.2921,79.96304,210.14375,1015,5.1,-999.0,0.9,1015.3,-0.5,-0.2,-1.11,1.03
300534065164870,2024,8,0,222.3336,222.3336,79.96395,210.13028,1015,5.45,-999.0,0.9,1015.5,-0.9,-0.44,-1.5,1.39
300534065164870,2024,9,0,222.3753,222.3753,79.96609,210.11341,1015,4.5,-999.0,0.9,1015.51,-1.41,-0.75,-1.96,1.6
300534065164870,2024,10,0,222.4173,222.4173,79.96989,210.09713,1015,3.1,-999.0,0.91,1015.31,-1.91,-1.08,-2.41,1.8
300534065164870,2024,11,0,222.4586,222.4586,79.97479,210.08311,1015,1.8,-999.0,0.91,1015.01,-2.32,-1.38,-2.88,2.06
300534065164870,2024,12,0,222.5003,222.5003,79.98084,210.07391,1014,1.0,-999.0,0.91,1014.72,-2.55,-1.6,-3.29,2.34
300534065164870,2024,13,0,222.542,222.542,79.98677,210.0677,1014,0.85,-999.0,0.91,1014.42,-2.46,-1.63,-3.53,2.44
300534065164870,2024,14,0,222.584,222.584,79.9923,210.06446,1013,0.5,-999.0,0.9,1014.18,-2.14,-1.49,-3.64,2.39
300534065164870,2024,15,0,222.6253,222.6253,79.99631,210.06546,1013,0.35,-999.0,0.9,1013.98,-1.63,-1.22,-4.04,2.0
300534065164870,2024,16,0,222.667,222.667,79.99898,210.06467,1013,0.35,-999.0,0.9,1013.54,-0.97,-0.89,-4.59,1.46
300534065164870,2024,17,0,222.7086,222.7086,80.00101,210.0563,1013,0.4,-999.0,0.9,1013.13,-0.33,-0.63,-5.07,0.93
300534065164870,2024,18,0,222.7506,222.7506,80.00282,210.03768,1012,0.5,-999.0,0.9,1012.66,-0.18,-0.45,-5.61,0.52
300534065164870,2024,19,0,222.792,222.792,80.00528,210.00807,1012,0.75,-999.0,0.89,1012.1,-0.18,-0.32,-6.16,0.12
300534065164870,2024,20,0,222.8336,222.8336,80.00861,209.97241,1011,0.7,-999.0,0.89,1011.45,-0.18,-0.26,-6.69,-0.3
300534065164870,2024,21,0,222.8756,222.8756,80.01331,209.93471,1011,0.75,-999.0,0.89,1010.9,-0.19,-0.22,-7.19,-0.46
300534065164870,2024,22,0,222.917,222.917,80.0193,209.89978,1011,1.1,-999.0,0.89,1010.68,-0.19,-0.2,-7.55,-0.52
300534065164870,2024,23,0,222.9586,222.9586,80.02625,209.86896,1010,1.2,-999.0,0.89,1010.48,-0.2,-0.2,-7.79,-0.63
300534065164870,2024,0,0,223.0006,223.0006,80.03358,209.8438,1010,1.15,-999.0,0.88,1010.18,-0.2,-0.21,-8.08,-0.72
300534065164870,2024,1,0,223.042,223.042,80.04061,209.82411,1010,1.0,-999.0,0.88,1009.94,-0.2,-0.22,-8.23,-0.75
