BuoyID,Year,Hour,Min,DOY,POS_DOY,Lat,Lon,BP,Ts,Ta,iIceC,iBP,iTs,iTa_2m,iWindE_0Layer,iWindN_0Layer
300534063807280,2024,0,0,1.0003,1.0003,59.10321,-28.39134,996,8.90,-999.00,0.00,997.04,8.79,3.76,-0.78,-3.41
300534063807280,2024,1,0,1.0420,1.0420,59.10329,-28.39403,996,8.90,-999.00,0.00,996.15,8.79,3.89,-1.36,-3.04
300534063807280,2024,2,0,1.0840,1.0840,59.10318,-28.39602,995,8.85,-999.00,0.00,995.17,8.79,4.04,-1.91,-2.81
300534063807280,2024,3,0,1.1253,1.1253,59.10323,-28.40063,994,8.85,-999.00,0.00,994.05,8.79,4.22,-2.54,-2.82
300534063807280,2024,4,0,1.1670,1.1670,59.10299,-28.40931,993,8.90,-999.00,0.00,993.06,8.79,4.33,-3.22,-2.92
300534063807280,2024,5,0,1.2090,1.2090,59.10298,-28.41750,992,8.90,-999.00,0.00,992.17,8.79,4.44,-3.77,-3.03
300534063807280,2024,6,0,1.2503,1.2503,59.10154,-28.42737,992,8.90,-999.00,0.00,991.32,8.78,4.54,-4.22,-3.23
300534063807280,2024,7,0,1.2920,1.2920,59.09839,-28.44459,991,8.90,-999.00,0.00,990.44,8.78,4.59,-4.68,-3.56
300534063807280,2024,8,0,1.3340,1.3340,59.09286,-28.46305,990,8.90,-999.00,0.00,989.70,8.78,4.74,-5.26,-3.95
300534063807280,2024,9,0,1.3753,1.3753,59.08792,-28.48452,989,8.90,-999.00,0.00,989.04,8.77,4.91,-6.13,-4.16
300534063807280,2024,10,0,1.4170,1.4170,59.08365,-28.50671,988,8.90,-999.00,0.00,988.41,8.76,5.28,-7.10,-3.88
300534063807280,2024,11,0,1.4586,1.4586,59.07844,-28.53215,987,8.85,-999.00,0.00,987.79,8.76,5.68,-7.91,-3.30
300534063807280,2024,12,0,1.5006,1.5006,59.07456,-28.56002,987,8.85,-999.00,0.00,987.14,8.76,6.02,-8.58,-2.94
300534063807280,2024,13,0,1.5420,1.5420,59.07449,-28.59218,986,8.85,-999.00,0.00,986.41,8.75,6.33,-9.15,-3.02
300534063807280,2024,14,0,1.5836,1.5836,59.07304,-28.63050,986,8.80,-999.00,0.00,985.60,8.74,6.50,-9.63,-3.50
300534063807280,2024,15,0,1.6256,1.6256,59.06701,-28.66645,985,8.75,-999.00,0.00,984.88,8.73,6.57,-9.73,-4.33
300534063807280,2024,16,0,1.6670,1.6670,59.05539,-28.69648,985,8.75,-999.00,0.00,984.59,8.73,6.58,-9.33,-5.45
300534063807280,2024,17,0,1.7086,1.7086,59.04384,-28.71928,984,8.80,-999.00,0.00,984.68,8.73,6.51,-8.43,-6.55
300534063807280,2024,18,0,1.7506,1.7506,59.03342,-28.73530,984,8.85,-999.00,0.00,984.88,8.72,6.52,-7.21,-7.52
300534063807280,2024,19,0,1.7920,1.7920,59.02048,-28.75643,984,8.80,-999.00,0.00,984.98,8.72,6.53,-5.78,-8.30
300534063807280,2024,20,0,1.8336,1.8336,59.00694,-28.77511,984,8.80,-999.00,0.00,984.91,8.72,6.50,-4.29,-8.80
300534063807280,2024,21,0,1.8756,1.8756,58.99084,-28.78719,984,8.80,-999.00,0.00,984.85,8.71,6.41,-3.03,-8.83
300534063807280,2024,22,0,1.9170,1.9170,58.97651,-28.79055,984,8.80,-999.00,0.00,984.63,8.72,6.22,-2.12,-8.50
300534063807280,2024,23,0,1.9586,1.9586,58.96511,-28.79490,984,8.80,-999.00,0.00,984.35,8.72,6.04,-1.36,-8.09
300534063807280,2024,0,0,2.0006,2.0006,58.95371,-28.79886,983,8.80,-999.00,0.00,984.08,8.72,5.92,-0.69,-7.77
300534063807280,2024,1,0,2.0420,2.0420,58.94199,-28.80236,983,8.80,-999.00,0.00,983.81,8.72,5.86,-0.08,-7.53
300534063807280,2024,2,0,2.0836,2.0836,58.93019,-28.80223,983,8.80,-999.00,0.00,983.44,8.72,5.85,0.53,-7.40
300534063807280,2024,3,0,2.1256,2.1256,58.91855,-28.79873,982,8.75,-999.00,0.00,983.03,8.72,5.89,1.16,-7.44
300534063807280,2024,4,0,2.1670,2.1670,58.90731,-28.79172,982,8.75,-999.00,0.00,982.78,8.72,5.93,1.93,-7.48
300534063807280,2024,5,0,2.2086,2.2086,58.89720,-28.78699,982,8.70,-999.00,0.00,982.69,8.72,5.94,2.78,-7.37
300534063807280,2024,6,0,2.2506,2.2506,58.88667,-28.78773,982,8.70,-999.00,0.00,982.59,8.72,5.89,3.59,-7.11
300534063807280,2024,7,0,2.2920,2.2920,58.87864,-28.78667,982,8.60,-999.00,0.00,982.55,8.73,5.84,4.14,-6.73
