BuoyID,Year,Hour,Min,DOY,POS_DOY,Lat,Lon,BP,Ts,Ta,iIceC,iBP,iTs,iTa_2m,iWindE_0Layer,iWindN_0Layer
900141,2024,23,31,234.9801,234.9801,72.22400,-176.18906,-999,-999.00,-999.00,0.12,995.25,0.03,0.71,-8.50,-6.51
900141,2024,0,0,235.0004,235.0004,72.22089,-176.19844,-999,-999.00,-999.00,0.12,995.34,0.03,0.63,-8.22,-7.11
900141,2024,0,31,235.0219,235.0219,72.21759,-176.21042,-999,-999.00,-999.00,0.12,995.33,0.03,0.63,-8.22,-7.12
900141,2024,1,1,235.0424,235.0424,72.21439,-176.22327,-999,-999.00,-999.00,0.12,995.56,0.04,0.54,-7.68,-7.63
900141,2024,1,30,235.0630,235.0630,72.21145,-176.23807,-999,-999.00,-999.00,0.12,995.56,0.04,0.54,-7.68,-7.63
900141,2024,2,0,235.0839,235.0839,72.20932,-176.25409,-999,-999.00,-999.00,0.12,995.96,0.04,0.45,-6.86,-8.21
900141,2024,2,30,235.1047,235.1047,72.20786,-176.27118,-999,-999.00,-999.00,0.12,995.96,0.04,0.45,-6.85,-8.21
900141,2024,3,0,235.1256,235.1256,72.20732,-176.28859,-999,-999.00,-999.00,0.12,996.43,0.05,0.43,-6.19,-8.60
900141,2024,3,30,235.1464,235.1464,72.20733,-176.30566,-999,-999.00,-999.00,0.12,996.44,0.05,0.42,-6.18,-8.60
900141,2024,4,0,235.1670,235.1670,72.20750,-176.32188,-999,-999.00,-999.00,0.12,996.86,0.05,0.34,-5.84,-8.77
900141,2024,4,30,235.1882,235.1882,72.20772,-176.33705,-999,-999.00,-999.00,0.12,996.87,0.05,0.34,-5.83,-8.77
900141,2024,5,0,235.2087,235.2087,72.20789,-176.35083,-999,-999.00,-999.00,0.12,997.35,0.06,0.27,-5.27,-8.99
900141,2024,5,30,235.2297,235.2297,72.20808,-176.36397,-999,-999.00,-999.00,0.12,997.36,0.06,0.27,-5.27,-8.99
900141,2024,6,0,235.2504,235.2504,72.20810,-176.37422,-999,-999.00,-999.00,0.12,997.99,0.06,0.18,-5.28,-9.17
900141,2024,6,31,235.2715,235.2715,72.20763,-176.38239,-999,-999.00,-999.00,0.12,997.99,0.06,0.18,-5.27,-9.17
900141,2024,7,0,235.2920,235.2920,72.20650,-176.39024,-999,-999.00,-999.00,0.12,998.71,0.06,0.15,-5.46,-9.25
900141,2024,7,30,235.3129,235.3129,72.20523,-176.39587,-999,-999.00,-999.00,0.12,998.71,0.06,0.15,-5.46,-9.25
900141,2024,8,0,235.3335,235.3335,72.20452,-176.39522,-999,-999.00,-999.00,0.11,999.49,0.06,0.13,-5.72,-9.13
900141,2024,8,30,235.3543,235.3543,72.20441,-176.39478,-999,-999.00,-999.00,0.11,999.48,0.06,0.13,-5.72,-9.13
900141,2024,9,0,235.3753,235.3753,72.20437,-176.39502,-999,-999.00,-999.00,0.11,1000.27,0.05,0.06,-5.84,-9.25
